Word;freqlemfilms2;freqlemlivres;freqfilms2;freqlivres
aborderiez;12.55;33.18;0.01;0
aborderions;12.55;33.18;0;0.14
aborderons;12.55;33.18;0.09;0.07
aborderont;12.55;33.18;0.04;0.14
abordes;12.55;33.18;0.36;0.07
abordez;12.55;33.18;0.75;0
abordiez;12.55;33.18;0.02;0.07
abordions;12.55;33.18;0.04;0.34
abordons;12.55;33.18;0.72;0.41
abords;2.22;19.05;1.33;11.76
abordâmes;12.55;33.18;0;0.27
abordèrent;12.55;33.18;0.01;0.68
abordé;12.55;33.18;1.36;2.97
abordé;0.15;0.2;0.03;0.14
abordée;12.55;33.18;0.34;0.54
abordées;12.55;33.18;0.05;0.2
abordées;0.15;0.2;0;0.07
abordés;12.55;33.18;0.26;0.41
abordés;0.15;0.2;0.12;0
aborigène;0.17;0.07;0.1;0
aborigène;0.6;0.14;0.21;0
aborigènes;0.17;0.07;0.07;0.07
aborigènes;0.6;0.14;0.39;0.14
abornement;0;0.07;0;0.07
abortif;0.04;0.34;0.01;0
abortive;0.04;0.34;0.01;0.14
abortives;0.04;0.34;0.02;0.2
abouchaient;0;0.81;0;0.07
abouchais;0;0.81;0;0.07
abouchait;0;0.81;0;0.07
abouchant;0;0.81;0;0.07
abouchements;0;0.07;0;0.07
aboucher;0;0.81;0;0.34
abouché;0;0.81;0;0.07
abouchée;0;0.81;0;0.07
abouchés;0;0.81;0;0.07
aboule;1.8;0.61;1.43;0.34
abouler;1.8;0.61;0.11;0.14
aboules;1.8;0.61;0.01;0
aboulez;1.8;0.61;0.25;0.14
aboulie;0;0.14;0;0.14
aboulique;0;0.07;0;0.07
abouliques;0;0.14;0;0.14
abounas;0;0.07;0;0.07
about;5.94;0.47;5.94;0.47
aboutait;0;0.14;0;0.07
abouti;0.11;0.2;0.04;0.14
abouti;5.34;25.81;1.24;2.84
aboutie;0.11;0.2;0.04;0.07
aboutie;5.34;25.81;0.04;0
aboutir;5.34;25.81;1.34;9.8
aboutira;5.34;25.81;0.29;0.41
aboutirai;5.34;25.81;0;0.07
aboutiraient;5.34;25.81;0.01;0.14
aboutirais;5.34;25.81;0;0.14
aboutirait;5.34;25.81;0.05;0.61
aboutiras;5.34;25.81;0;0.07
aboutirent;5.34;25.81;0;0.68
aboutirons;5.34;25.81;0.01;0
aboutiront;5.34;25.81;0.04;0.27
aboutis;0.11;0.2;0.03;0
aboutis;5.34;25.81;0.07;0.34
aboutissaient;5.34;25.81;0.15;1.15
aboutissait;5.34;25.81;0.03;2.5
aboutissant;5.34;25.81;0;1.15
aboutissant;0.09;0.95;0;0.14
aboutissants;0.09;0.95;0.09;0.81
aboutisse;5.34;25.81;0.08;0.41
aboutissement;0.5;4.05;0.5;4.05
aboutissent;5.34;25.81;0.47;1.49
aboutissez;5.34;25.81;0.02;0.07
aboutissiez;5.34;25.81;0;0.07
aboutissions;5.34;25.81;0;0.07
aboutit;5.34;25.81;1.5;3.45
aboutonnai;0;0.07;0;0.07
aboutons;0;0.14;0;0.07
aboutîmes;5.34;25.81;0;0.14
aboya;7.43;11.82;0;1.42
aboyaient;7.43;11.82;0.05;0.68
aboyait;7.43;11.82;0.33;1.55
aboyant;0.01;0.2;0.01;0.14
aboyant;7.43;11.82;0.18;1.28
aboyante;0.01;0.2;0;0.07
aboyer;7.43;11.82;2.39;3.04
aboyeur;0.03;0.14;0.03;0
aboyeur;0.06;0.61;0.05;0.34
aboyeurs;0.03;0.14;0;0.14
aboyeurs;0.06;0.61;0.01;0.27
aboyons;7.43;11.82;0.1;0.07
aboyèrent;7.43;11.82;0;0.27
aboyé;7.43;11.82;0.28;0.54
abracadabra;0.98;0.27;0.98;0.27
abracadabrant;0.26;0.68;0.03;0.2
abracadabrante;0.26;0.68;0.13;0
abracadabrantes;0.26;0.68;0.1;0.34
abracadabrants;0.26;0.68;0;0.14
abracadabré;0.01;0;0.01;0
abrasif;0.09;0.27;0.04;0.27
abrasif;0.15;0.41;0.13;0.34
abrasifs;0.09;0.27;0.01;0
abrasifs;0.15;0.41;0.03;0.07
abrasion;0.19;0.14;0.19;0.14
abrasive;0.09;0.27;0.04;0
abrasé;0;0.07;0;0.07
abraxas;0.29;0;0.29;0
abreuva;1.13;6.22;0;0.27
abreuvage;0;0.07;0;0.07
abreuvaient;1.13;6.22;0;0.27
abreuvait;1.13;6.22;0.03;0.47
abreuvant;1.13;6.22;0.01;0.34
abreuve;1.13;6.22;0.23;1.08
abreuvent;1.13;6.22;0.04;0.34
abreuver;1.13;6.22;0.48;2.09
abreuvera;1.13;6.22;0.11;0
abreuveraient;1.13;6.22;0;0.07
abreuvez;1.13;6.22;0.03;0
abreuvoir;0.35;3.92;0.34;3.24
abreuvoirs;0.35;3.92;0.01;0.68
abreuvons;1.13;6.22;0.01;0.07
abreuvé;1.13;6.22;0.04;0.68
abreuvé;0.01;0.14;0;0.14
abreuvée;1.13;6.22;0.1;0.27
abreuvés;1.13;6.22;0.04;0.27
abreuvés;0.01;0.14;0.01;0
abri;25.9;56.76;22.7;51.08
abri-refuge;0;0.07;0;0.07
abribus;0.04;0.14;0.04;0.14
abricot;0.08;0.68;0.08;0.68
abricot;1.24;2.5;0.5;1.15
abricotez;0.01;0;0.01;0
abricotier;0.02;0.41;0.02;0.14
abricotiers;0.02;0.41;0;0.27
abricotine;0;0.07;0;0.07
abricots;1.24;2.5;0.74;1.35
abris;25.9;56.76;3.2;5.68
abrita;7.92;26.22;0.02;0.68
abritai;7.92;26.22;0;0.07
abritaient;7.92;26.22;0.14;1.49
abritais;7.92;26.22;0.01;0.14
abritait;7.92;26.22;0.23;4.53
abritant;0.01;0;0.01;0
abritant;7.92;26.22;0.25;1.82
abrite;7.92;26.22;2.09;2.7
abritent;7.92;26.22;0.33;1.15
abriter;7.92;26.22;2.37;6.96
abritera;7.92;26.22;0.1;0.07
abriterait;7.92;26.22;0.04;0.2
abriterons;7.92;26.22;0.03;0
abriteront;7.92;26.22;0.01;0.07
abrites;7.92;26.22;0.14;0.07
abritez;7.92;26.22;1.08;0.2
abritiez;7.92;26.22;0.01;0
abritions;7.92;26.22;0.01;0.14
abritons;7.92;26.22;0.4;0
abritâmes;7.92;26.22;0.01;0
abritèrent;7.92;26.22;0;0.07
abrité;7.92;26.22;0.35;3.11
abrité;0.17;1.08;0.13;0.68
abritée;7.92;26.22;0.04;1.15
abritée;0.17;1.08;0.02;0.34
abritées;7.92;26.22;0.24;0.54
abrités;7.92;26.22;0.02;1.08
abrités;0.17;1.08;0.03;0.07
abrogation;0.16;0.14;0.16;0.14
abrogent;0.71;0.34;0.23;0
abroger;0.71;0.34;0.09;0.07
abrogé;0.71;0.34;0.11;0
abrogé;0.01;0;0.01;0
abrogée;0.71;0.34;0.28;0
abrogées;0.71;0.34;0;0.14
abrogés;0.71;0.34;0.01;0.14
abrupt;1.36;7.43;0.54;2.23
abrupt;0;0.47;0;0.34
abrupte;1.36;7.43;0.43;2.84
abruptement;0.07;2.03;0.07;2.03
abruptes;1.36;7.43;0.24;1.55
abrupts;1.36;7.43;0.14;0.81
abrupts;0;0.47;0;0.14
abruti;6.13;4.66;5.24;3.04
abruti;25.64;6.69;19.13;4.39
abruti;2.56;6.01;1.75;1.76
abrutie;6.13;4.66;0.27;0.68
abrutie;25.64;6.69;0.38;0.47
abrutie;2.56;6.01;0.06;0.34
abruties;6.13;4.66;0.03;0.07
abruties;25.64;6.69;0.03;0
abruties;2.56;6.01;0.02;0.07
abrutir;2.56;6.01;0.11;0.95
abrutira;2.56;6.01;0;0.07
abrutis;6.13;4.66;0.6;0.88
abrutis;25.64;6.69;6.1;1.82
abrutis;2.56;6.01;0.13;1.55
abrutissaient;2.56;6.01;0;0.2
abrutissais;2.56;6.01;0;0.07
abrutissait;2.56;6.01;0.14;0.27
abrutissant;2.56;6.01;0;0.27
abrutissant;0.19;0.41;0.14;0.14
abrutissante;0.19;0.41;0;0.27
abrutissantes;0.19;0.41;0.02;0
abrutissants;0.19;0.41;0.03;0
abrutissement;0.13;1.42;0.13;1.42
abrutissent;2.56;6.01;0.16;0
abrutisseur;0;0.07;0;0.07
abrutissions;2.56;6.01;0;0.07
abrutit;2.56;6.01;0.19;0.41
abrège;4.21;4.86;1.25;1.28
abrègent;4.21;4.86;0.22;0.34
abrégea;4.21;4.86;0.02;0.14
abrégeai;4.21;4.86;0;0.07
abrégeaient;4.21;4.86;0;0.07
abrégeait;4.21;4.86;0;0.2
abrégeant;4.21;4.86;0;0.07
abrégeons;4.21;4.86;0.12;0.07
abréger;4.21;4.86;1.61;1.82
abrégera;4.21;4.86;0.01;0
